"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"No","1","Female",50,0,0,28.7125,"C"
"No","2","Male",30,0,0,13,"S"
"No","3","Male",36,0,0,0,"S"
"No","3","Female",NA,8,2,69.55,"S"
"No","2","Male",NA,0,0,15.05,"C"
"No","3","Male",9,4,2,31.3875,"S"
"Yes","2","Male",1,2,1,39,"S"
"Yes","3","Female",4,0,2,22.025,"S"
"No","1","Male",NA,0,0,50,"S"
"Yes","3","Female",NA,1,0,15.5,"Q"
"Yes","1","Male",45,0,0,26.55,"S"
"No","3","Male",40,1,1,15.5,"Q"
"No","3","Male",36,0,0,7.8958,"S"
"Yes","2","Female",32,0,0,13,"S"
"No","2","Male",19,0,0,13,"S"
"Yes","3","Female",19,1,0,7.8542,"S"
"Yes","2","Male",3,1,1,26,"S"
"Yes","1","Female",44,0,0,27.7208,"C"
"Yes","1","Female",58,0,0,146.5208,"C"
"No","3","Male",NA,0,0,7.75,"Q"
"No","3","Male",42,0,1,8.4042,"S"
"Yes","3","Female",NA,0,0,7.75,"Q"
"No","2","Female",24,0,0,13,"S"
"No","3","Male",28,0,0,9.5,"S"
"No","3","Male",NA,8,2,69.55,"S"
"No","3","Male",34,0,0,6.4958,"S"
"No","3","Male",45.5,0,0,7.225,"C"
"Yes","3","Male",18,0,0,8.05,"S"
"No","3","Female",2,0,1,10.4625,"S"
"No","3","Male",32,1,0,15.85,"S"
"Yes","3","Male",26,0,0,18.7875,"C"
"Yes","3","Female",16,0,0,7.75,"Q"
"Yes","1","Male",40,0,0,31,"C"
"No","3","Male",24,0,0,7.05,"S"
"Yes","2","Female",35,0,0,21,"S"
"No","3","Male",22,0,0,7.25,"S"
"No","2","Male",30,0,0,13,"S"
"No","3","Male",NA,1,0,7.75,"Q"
"Yes","1","Female",31,1,0,113.275,"C"
"Yes","3","Female",27,0,0,7.925,"S"
"No","2","Male",42,1,0,27,"S"
"Yes","1","Female",32,0,0,76.2917,"C"
"No","2","Male",30,0,0,10.5,"S"
"Yes","3","Male",16,0,0,8.05,"S"
"No","2","Male",27,0,0,13,"S"
"No","3","Male",51,0,0,8.05,"S"
"No","3","Male",NA,0,0,7.8958,"S"
"Yes","1","Male",38,1,0,90,"S"
"No","3","Male",22,0,0,9.35,"S"
"Yes","2","Male",19,0,0,10.5,"S"
"No","3","Male",20.5,0,0,7.25,"S"
"No","2","Male",18,0,0,13,"S"
"No","3","Female",NA,3,1,25.4667,"S"
"Yes","1","Female",35,1,0,83.475,"S"
"No","3","Male",29,0,0,7.775,"S"
"No","2","Male",59,0,0,13.5,"S"
"Yes","3","Female",5,4,2,31.3875,"S"
"No","2","Male",24,0,0,10.5,"S"
"No","3","Female",NA,0,0,7.55,"S"
"No","2","Male",44,1,0,26,"S"
"Yes","2","Female",8,0,2,26.25,"S"
"No","2","Male",19,0,0,10.5,"S"
"No","2","Male",33,0,0,12.275,"S"
"No","3","Female",NA,1,0,14.4542,"C"
"Yes","3","Female",NA,1,0,15.5,"Q"
"No","2","Male",29,0,0,10.5,"S"
"No","3","Male",22,0,0,7.125,"S"
"No","3","Male",30,0,0,7.225,"C"
"No","1","Male",44,2,0,90,"Q"
"No","3","Female",25,0,0,7.775,"S"
"Yes","2","Female",24,0,2,14.5,"S"
"Yes","1","Male",37,1,1,52.5542,"S"
"No","2","Male",54,1,0,26,"S"
"No","3","Male",NA,0,0,7.25,"S"
"No","3","Female",29,1,1,10.4625,"S"
"No","1","Male",62,0,0,26.55,"S"
"No","3","Male",30,1,0,16.1,"S"
"No","3","Female",41,0,2,20.2125,"S"
"Yes","3","Female",29,0,2,15.2458,"C"
"Yes","1","Female",NA,0,0,79.2,"C"
"Yes","1","Female",30,0,0,86.5,"S"
"Yes","1","Female",35,0,0,512.3292,"C"
"Yes","2","Female",50,0,1,26,"S"
"No","3","Male",NA,0,0,7.75,"Q"
"Yes","3","Male",3,4,2,31.3875,"S"
"No","1","Male",52,1,1,79.65,"S"
"No","1","Male",40,0,0,0,"S"
"No","3","Female",NA,0,0,7.75,"Q"
"No","2","Male",36,0,0,10.5,"S"
"No","3","Male",16,4,1,39.6875,"S"
"Yes","3","Male",25,1,0,7.775,"S"
"Yes","1","Female",58,0,1,153.4625,"S"
"Yes","1","Female",35,0,0,135.6333,"S"
"No","1","Male",NA,0,0,31,"S"
"Yes","3","Male",25,0,0,0,"S"
"Yes","2","Female",41,0,1,19.5,"S"
"No","1","Male",37,0,1,29.7,"C"
"Yes","3","Female",NA,0,0,7.75,"Q"
"Yes","1","Female",63,1,0,77.9583,"S"
"No","3","Female",45,0,0,7.75,"S"
"No","2","Male",NA,0,0,0,"S"
"No","3","Male",7,4,1,29.125,"Q"
"Yes","3","Female",35,1,1,20.25,"S"
"No","3","Male",65,0,0,7.75,"Q"
"No","3","Male",28,0,0,7.8542,"S"
"No","3","Male",16,0,0,9.5,"S"
"Yes","3","Male",19,0,0,8.05,"S"
"No","1","Male",NA,0,0,26,"S"
"No","3","Male",33,0,0,8.6625,"C"
"Yes","3","Male",30,0,0,9.5,"S"
"No","3","Male",22,0,0,7.8958,"S"
"Yes","2","Male",42,0,0,13,"S"
"Yes","3","Female",22,0,0,7.75,"Q"
"Yes","1","Female",26,0,0,78.85,"S"
"Yes","1","Female",19,1,0,91.0792,"C"
"No","2","Male",36,0,0,12.875,"C"
"No","3","Female",24,0,0,8.85,"S"
"No","3","Male",24,0,0,7.8958,"S"
"No","1","Male",NA,0,0,27.7208,"C"
"No","3","Male",23.5,0,0,7.2292,"C"
"No","1","Female",2,1,2,151.55,"S"
"Yes","1","Male",NA,0,0,30.5,"S"
"Yes","1","Female",50,0,1,247.5208,"C"
"Yes","3","Female",NA,0,0,7.75,"Q"
"Yes","3","Male",NA,2,0,23.25,"Q"
"No","3","Male",19,0,0,0,"S"
"Yes","2","Female",NA,0,0,12.35,"Q"
"No","3","Male",NA,0,0,8.05,"S"
"Yes","1","Male",0.92,1,2,151.55,"S"
"Yes","1","Female",NA,0,0,110.8833,"C"
"Yes","1","Female",17,1,0,108.9,"C"
"No","2","Male",30,1,0,24,"C"
"Yes","1","Female",30,0,0,56.9292,"C"
"Yes","1","Female",24,0,0,83.1583,"C"
"Yes","1","Female",18,2,2,262.375,"C"
"No","2","Female",26,1,1,26,"S"
"No","3","Male",28,0,0,7.8958,"S"
"No","2","Male",43,1,1,26.25,"S"
"Yes","3","Female",26,0,0,7.8542,"S"
"Yes","2","Female",24,1,0,26,"S"
"No","2","Male",54,0,0,14,"S"
"Yes","1","Female",31,0,2,164.8667,"S"
"Yes","1","Female",40,1,1,134.5,"C"
"No","3","Male",22,0,0,7.25,"S"
"No","3","Male",27,0,0,7.8958,"S"
"Yes","2","Female",30,0,0,12.35,"Q"
"Yes","2","Female",22,1,1,29,"S"
"No","3","Male",NA,8,2,69.55,"S"
"Yes","1","Female",36,0,0,135.6333,"C"
"No","3","Male",61,0,0,6.2375,"S"
"Yes","2","Female",36,0,0,13,"S"
"Yes","3","Female",31,1,1,20.525,"S"
"Yes","1","Female",16,0,1,57.9792,"C"
"Yes","3","Female",NA,2,0,23.25,"Q"
"No","1","Male",45.5,0,0,28.5,"S"
"No","1","Male",38,0,1,153.4625,"S"
"No","3","Male",16,2,0,18,"S"
"Yes","1","Female",NA,1,0,133.65,"S"
"No","3","Male",NA,0,0,7.8958,"S"
"No","1","Male",29,1,0,66.6,"S"
"Yes","1","Female",41,0,0,134.5,"C"
"Yes","3","Male",45,0,0,8.05,"S"
"No","1","Male",45,0,0,35.5,"S"
"Yes","2","Male",2,1,1,26,"S"
"Yes","1","Female",24,3,2,263,"S"
"No","2","Male",28,0,0,13,"S"
"No","2","Male",25,0,0,13,"S"
"No","2","Male",36,0,0,13,"S"
"Yes","2","Female",24,0,0,13,"S"
"Yes","2","Female",40,0,0,13,"S"
"Yes","3","Female",NA,1,0,16.1,"S"
"Yes","3","Male",3,1,1,15.9,"S"
"No","3","Male",42,0,0,8.6625,"S"
"No","3","Male",23,0,0,9.225,"S"
"No","1","Male",NA,0,0,35,"S"
"No","3","Male",15,1,1,7.2292,"C"
"No","3","Male",25,1,0,17.8,"S"
"No","3","Male",NA,0,0,7.225,"C"
"No","3","Male",28,0,0,9.5,"S"
"Yes","1","Female",22,0,1,55,"S"
"No","2","Female",38,0,0,13,"S"
"Yes","3","Female",NA,0,0,7.8792,"Q"
"Yes","3","Female",NA,0,0,7.8792,"Q"
"No","3","Male",40,1,4,27.9,"S"
"No","2","Male",29,1,0,27.7208,"C"
"No","3","Female",45,0,1,14.4542,"C"
"No","3","Male",35,0,0,7.05,"S"
"No","3","Male",NA,1,0,15.5,"Q"
"No","3","Male",30,0,0,7.25,"S"
"Yes","1","Female",60,1,0,75.25,"C"
"Yes","3","Female",NA,0,0,7.2292,"C"
"Yes","3","Female",NA,0,0,7.75,"Q"
"Yes","1","Female",24,0,0,69.3,"C"
"Yes","1","Male",25,1,0,55.4417,"C"
"No","3","Male",18,1,0,6.4958,"S"
"No","3","Male",19,0,0,8.05,"S"
"No","1","Male",22,0,0,135.6333,"C"
"No","3","Female",3,3,1,21.075,"S"
"Yes","1","Female",NA,1,0,82.1708,"C"
"Yes","3","Female",22,0,0,7.25,"S"
"No","1","Male",27,0,2,211.5,"C"
"No","3","Male",20,0,0,4.0125,"C"
"No","3","Male",19,0,0,7.775,"S"
"Yes","1","Female",42,0,0,227.525,"C"
"Yes","3","Female",1,0,2,15.7417,"C"
"No","3","Male",32,0,0,7.925,"S"
"Yes","1","Female",35,1,0,52,"S"
"No","3","Male",NA,0,0,7.8958,"S"
"No","2","Male",18,0,0,73.5,"S"
"No","3","Male",1,5,2,46.9,"S"
"Yes","2","Female",36,0,0,13,"S"
"No","3","Male",NA,0,0,7.7292,"Q"
"Yes","2","Female",17,0,0,12,"C"
"Yes","1","Male",36,1,2,120,"S"
"Yes","3","Male",21,0,0,7.7958,"S"
"No","3","Male",28,2,0,7.925,"S"
"Yes","1","Female",23,1,0,113.275,"C"
"Yes","3","Female",24,0,2,16.7,"S"
"No","3","Male",22,0,0,7.7958,"S"
"No","3","Female",31,0,0,7.8542,"S"
"No","2","Male",46,0,0,26,"S"
"No","2","Male",23,0,0,10.5,"S"
"Yes","2","Female",28,0,0,12.65,"S"
"Yes","3","Male",39,0,0,7.925,"S"
"No","3","Male",26,0,0,8.05,"S"
"No","3","Female",21,1,0,9.825,"S"
"No","3","Male",28,1,0,15.85,"S"
"No","3","Female",20,0,0,8.6625,"S"
"No","2","Male",34,1,0,21,"S"
"No","3","Male",51,0,0,7.75,"S"
"Yes","2","Male",3,1,1,18.75,"S"
"No","3","Male",21,0,0,7.775,"S"
"No","3","Female",NA,3,1,25.4667,"S"
"No","3","Male",NA,0,0,7.8958,"S"
"No","3","Male",NA,0,0,6.8583,"Q"
"Yes","1","Female",33,1,0,90,"Q"
"No","2","Male",NA,0,0,0,"S"
"Yes","3","Male",44,0,0,7.925,"S"
"No","3","Female",NA,0,0,8.05,"S"
"Yes","2","Female",34,1,1,32.5,"S"
"Yes","2","Female",18,0,2,13,"S"
"No","2","Male",30,0,0,13,"S"
"No","3","Female",10,0,2,24.15,"S"
"No","3","Male",NA,0,0,7.8958,"C"
"No","3","Male",21,0,0,7.7333,"Q"
"No","3","Male",29,0,0,7.875,"S"
"No","3","Female",28,1,1,14.4,"S"
"No","3","Male",18,1,1,20.2125,"S"
"No","3","Male",NA,0,0,7.25,"S"
"Yes","2","Female",28,1,0,26,"S"
"Yes","2","Female",19,0,0,26,"S"
"No","3","Male",NA,0,0,7.75,"Q"
"Yes","3","Male",32,0,0,8.05,"S"
"Yes","1","Male",28,0,0,26.55,"S"
"Yes","3","Female",NA,1,0,16.1,"S"
"Yes","2","Female",42,1,0,26,"S"
"No","3","Male",17,0,0,7.125,"S"
"No","1","Male",50,1,0,55.9,"S"
"Yes","1","Female",14,1,2,120,"S"
"No","3","Female",21,2,2,34.375,"S"
"Yes","2","Female",24,2,3,18.75,"S"
"No","1","Male",64,1,4,263,"S"
"No","2","Male",31,0,0,10.5,"S"
"Yes","2","Female",45,1,1,26.25,"S"
"No","3","Male",20,0,0,9.5,"S"
"No","3","Male",25,1,0,7.775,"S"
"Yes","2","Female",28,0,0,13,"S"
"Yes","3","Male",NA,0,0,8.1125,"S"
"Yes","1","Male",4,0,2,81.8583,"S"
"Yes","2","Female",13,0,1,19.5,"S"
"Yes","1","Male",34,0,0,26.55,"S"
"Yes","3","Female",5,2,1,19.2583,"C"
"Yes","1","Male",52,0,0,30.5,"S"
"No","2","Male",36,1,2,27.75,"S"
"No","3","Male",NA,1,0,19.9667,"S"
"No","1","Male",30,0,0,27.75,"C"
"Yes","1","Male",49,1,0,89.1042,"C"
"No","3","Male",NA,0,0,8.05,"S"
"Yes","3","Male",29,0,0,7.8958,"C"
"No","1","Male",65,0,0,26.55,"S"
"Yes","1","Female",NA,1,0,51.8625,"S"
"Yes","2","Female",50,0,0,10.5,"S"
"No","3","Male",NA,0,0,7.75,"Q"
"Yes","1","Male",48,0,0,26.55,"S"
"No","3","Male",34,0,0,8.05,"S"
"No","1","Male",47,0,0,38.5,"S"
"No","2","Male",48,0,0,13,"S"
"No","3","Male",NA,0,0,8.05,"S"
"No","3","Male",38,0,0,7.05,"S"
"No","2","Male",NA,0,0,0,"S"
"No","1","Male",56,0,0,26.55,"S"
"No","3","Male",NA,0,0,7.725,"Q"
"Yes","3","Female",0.75,2,1,19.2583,"C"
"No","3","Male",NA,0,0,7.25,"S"
"No","3","Male",38,0,0,8.6625,"S"
"Yes","2","Female",33,1,2,27.75,"S"
"Yes","2","Female",23,0,0,13.7917,"C"
"No","3","Female",22,0,0,9.8375,"S"
"No","1","Male",NA,0,0,52,"S"
"No","2","Male",34,1,0,21,"S"
"No","3","Male",29,1,0,7.0458,"S"
"No","3","Male",22,0,0,7.5208,"S"
"Yes","3","Female",2,0,1,12.2875,"S"
"No","3","Male",9,5,2,46.9,"S"
"No","2","Male",NA,0,0,0,"S"
"No","3","Male",50,0,0,8.05,"S"
"Yes","3","Female",63,0,0,9.5875,"S"
"Yes","1","Male",25,1,0,91.0792,"C"
"No","3","Female",NA,3,1,25.4667,"S"
"Yes","1","Female",35,1,0,90,"S"
"No","1","Male",58,0,0,29.7,"C"
"No","3","Male",30,0,0,8.05,"S"
"Yes","3","Male",9,1,1,15.9,"S"
"No","3","Male",NA,1,0,19.9667,"S"
"No","3","Male",21,0,0,7.25,"S"
"No","1","Male",55,0,0,30.5,"S"
"No","1","Male",71,0,0,49.5042,"C"
"No","3","Male",21,0,0,8.05,"S"
"No","3","Male",NA,0,0,14.4583,"C"
"Yes","1","Female",54,1,0,78.2667,"C"
"No","3","Male",NA,0,0,15.1,"S"
"No","1","Female",25,1,2,151.55,"S"
"No","3","Male",24,0,0,7.7958,"S"
"No","3","Male",17,0,0,8.6625,"S"
"No","3","Female",21,0,0,7.75,"Q"
"No","3","Female",NA,0,0,7.6292,"Q"
"No","3","Female",37,0,0,9.5875,"S"
"Yes","1","Female",16,0,0,86.5,"S"
"No","1","Male",18,1,0,108.9,"C"
"Yes","2","Female",33,0,2,26,"S"
"Yes","1","Male",NA,0,0,26.55,"S"
"No","3","Male",28,0,0,22.525,"S"
"Yes","3","Male",26,0,0,56.4958,"S"
"Yes","3","Male",29,0,0,7.75,"Q"
"No","3","Male",NA,0,0,8.05,"S"
"Yes","1","Male",36,0,0,26.2875,"S"
"Yes","1","Female",54,1,0,59.4,"C"
"No","3","Male",24,0,0,7.4958,"S"
"No","1","Male",47,0,0,34.0208,"S"
"Yes","2","Female",34,0,0,10.5,"S"
"No","3","Male",NA,0,0,24.15,"Q"
"Yes","2","Female",36,1,0,26,"S"
"No","3","Male",32,0,0,7.8958,"S"
"Yes","1","Female",30,0,0,93.5,"S"
"No","3","Male",22,0,0,7.8958,"S"
"No","3","Male",NA,0,0,7.225,"C"
"Yes","1","Female",44,0,1,57.9792,"C"
"No","3","Male",NA,0,0,7.2292,"C"
"No","3","Male",40.5,0,0,7.75,"Q"
"Yes","2","Female",50,0,0,10.5,"S"
"No","1","Male",NA,0,0,221.7792,"S"
"No","3","Male",39,0,0,7.925,"S"
"No","2","Male",23,2,1,11.5,"S"
"Yes","2","Female",2,1,1,26,"S"
"No","3","Male",NA,0,0,7.2292,"C"
"No","3","Male",17,1,1,7.2292,"C"
"Yes","3","Female",NA,0,2,22.3583,"C"
"No","3","Female",30,0,0,8.6625,"S"
"Yes","2","Female",7,0,2,26.25,"S"
"No","1","Male",45,0,0,26.55,"S"
"Yes","1","Female",30,0,0,106.425,"C"
"No","3","Male",NA,0,0,14.5,"S"
"Yes","1","Female",22,0,2,49.5,"C"
"Yes","1","Female",36,0,2,71,"S"
"No","3","Female",9,4,2,31.275,"S"
"No","3","Female",11,4,2,31.275,"S"
"Yes","2","Male",32,1,0,26,"S"
"No","1","Male",50,1,0,106.425,"C"
"No","1","Male",64,0,0,26,"S"
"Yes","2","Female",19,1,0,26,"S"
"Yes","2","Male",NA,0,0,13.8625,"C"
"No","3","Male",33,1,1,20.525,"S"
"Yes","2","Male",8,1,1,36.75,"S"
"Yes","1","Male",17,0,2,110.8833,"C"
"No","2","Male",27,0,0,26,"S"
"No","3","Male",NA,0,0,7.8292,"Q"
"Yes","3","Male",22,0,0,7.225,"C"
"Yes","3","Female",22,0,0,7.775,"S"
"No","1","Male",62,0,0,26.55,"S"
"Yes","1","Female",48,1,0,39.6,"C"
"No","1","Male",NA,0,0,227.525,"C"
"Yes","1","Female",39,1,1,79.65,"S"
"Yes","3","Female",36,1,0,17.4,"S"
"No","3","Male",NA,0,0,7.75,"Q"
"No","3","Male",40,0,0,7.8958,"S"
"No","2","Male",28,0,0,13.5,"S"
"No","3","Male",NA,0,0,8.05,"S"
"No","3","Female",NA,0,0,8.05,"S"
"No","3","Male",24,2,0,24.15,"S"
"No","3","Male",19,0,0,7.8958,"S"
"No","3","Female",29,0,4,21.075,"S"
"No","3","Male",NA,0,0,7.2292,"C"
"Yes","3","Male",32,0,0,7.8542,"S"
"Yes","2","Male",62,0,0,10.5,"S"
"Yes","1","Female",53,2,0,51.4792,"S"
"Yes","1","Male",36,0,0,26.3875,"S"
"Yes","3","Female",NA,0,0,7.75,"Q"
"No","3","Male",16,0,0,8.05,"S"
"No","3","Male",19,0,0,14.5,"S"
"Yes","2","Female",34,0,0,13,"S"
"Yes","1","Female",39,1,0,55.9,"S"
"No","3","Female",NA,1,0,14.4583,"C"
"Yes","3","Male",32,0,0,7.925,"S"
"Yes","2","Female",25,1,1,30,"S"
"Yes","1","Female",39,1,1,110.8833,"C"
"No","2","Male",54,0,0,26,"S"
"No","1","Male",36,0,0,40.125,"C"
"No","3","Male",NA,0,0,8.7125,"C"
"Yes","1","Female",18,0,2,79.65,"S"
"No","2","Male",47,0,0,15,"S"
"Yes","1","Male",60,1,1,79.2,"C"
"No","3","Male",22,0,0,8.05,"S"
"No","3","Male",NA,0,0,8.05,"S"
"No","3","Male",35,0,0,7.125,"S"
"Yes","1","Female",52,1,0,78.2667,"C"
"No","3","Male",47,0,0,7.25,"S"
"No","3","Female",NA,0,2,7.75,"Q"
"No","2","Male",37,1,0,26,"S"
"No","3","Male",36,1,1,24.15,"S"
"Yes","2","Female",NA,0,0,33,"S"
"No","3","Male",49,0,0,0,"S"
"No","3","Male",NA,0,0,7.225,"C"
"Yes","1","Male",49,1,0,56.9292,"C"
"Yes","2","Female",24,2,1,27,"S"
"No","3","Male",NA,0,0,7.8958,"S"
